code,code_digits,slug,name_fr,name_ar,type,region_code,province_code,cercle_code,population_2024,households_2024,population_2014,change_pct,area_km2,density_2024
01.573.01.01,015730101,fnideq,Fnideq,الفنيدق,urban,01,01.573,,77250,20061,77436,-0.24,31.49,2453.01
01.573.01.03,015730103,martil,Martil,مرتيل,urban,01,01.573,,95896,26886,64355,49.01,21.97,4365.53
01.573.01.07,015730107,allyene,Allyene,عليين,urban,01,01.573,,8111,2131,6583,23.21,94.06,86.24
01.573.01.09,015730109,belyounech,Belyounech,بليونش,urban,01,01.573,,5208,1221,5296,-1.66,30.91,168.51
01.571.01.11,015710111,tetouan,Tétouan,تطوان,urban,01,01.571,,422757,113837,380787,11.02,69.39,6092.39
01.571.01.07,015710107,oued-laou,Oued Laou,واد لو,urban,01,01.571,,11690,3153,9665,20.95,29.62,394.61
01.571.03.01,015710301,ain-lahsan,Ain Lahsan,عين لحصن,rural,01,01.571,01.571.03,7450,1888,6742,10.5,81.99,90.86
01.571.03.19,015710319,souk-kdim,Souk Kdim,سوق القديم,rural,01,01.571,01.571.03,8699,1986,7823,11.2,72.43,120.11
01.571.03.09,015710309,jbel-lahbib,Jbel Lahbib,جبل لحبيب,rural,01,01.571,01.571.03,4126,1109,3780,9.15,62.72,65.78
01.571.03.07,015710307,bni-harchen,Bni Harchen,بني حرشن,rural,01,01.571,01.571.03,6423,1511,6953,-7.62,182,35.29
