code_a,name_a,code_b,name_b,km
01.051.01.01,Al Hoceima,01.051.01.09,Ajdir,2.49
01.051.01.01,Al Hoceima,01.051.11.15,Izemmouren,5.63
01.051.01.03,Bni Bouayach,01.051.01.05,Imzouren,4.48
01.051.01.03,Bni Bouayach,01.051.13.17,Louta,4.75
01.051.01.03,Bni Bouayach,01.051.13.19,Nekkour,5.52
01.051.01.03,Bni Bouayach,01.051.13.23,Tifarouine,4.49
01.051.01.03,Bni Bouayach,02.167.11.11,Ijermaouas,4.9
01.051.01.03,Bni Bouayach,02.167.11.27,Trougout,2.75
01.051.01.05,Imzouren,01.051.13.03,Ait Youssef Ou Ali,10.39
01.051.01.05,Imzouren,01.051.13.17,Louta,3.22
01.051.01.05,Imzouren,02.167.11.27,Trougout,2.93
01.051.01.07,Targuist,01.051.07.19,Sidi Boutmim,2.33
01.051.01.07,Targuist,01.051.07.27,Zarkt,8.08
01.051.01.09,Ajdir,01.051.11.01,Ait Kamra,5.28
01.051.01.09,Ajdir,01.051.11.15,Izemmouren,0.83
01.051.01.09,Ajdir,01.051.13.03,Ait Youssef Ou Ali,7.22
01.051.03.01,Bni Boufrah,01.051.03.03,Bni Gmil,23.83
01.051.03.01,Bni Boufrah,01.051.03.07,Senada,22.84
01.051.03.01,Bni Boufrah,01.051.07.19,Sidi Boutmim,10.52
01.051.03.03,Bni Gmil,01.051.03.05,Bni Gmil Maksouline,26.46
01.051.03.03,Bni Gmil,01.051.07.19,Sidi Boutmim,1.56
01.051.03.03,Bni Gmil,01.051.07.27,Zarkt,5.79
01.051.03.03,Bni Gmil,01.151.09.17,M'tioua,10.83
01.051.03.03,Bni Gmil,01.151.09.19,Ouaouzgane,2.21
01.051.03.05,Bni Gmil Maksouline,01.051.07.27,Zarkt,0.46
01.051.03.05,Bni Gmil Maksouline,01.051.09.17,Moulay Ahmed Cherif,18.73
01.051.03.05,Bni Gmil Maksouline,01.151.09.19,Ouaouzgane,9.33
01.051.03.07,Senada,01.051.07.19,Sidi Boutmim,3.46
01.051.03.07,Senada,01.051.11.07,Bni Abdellah,6.44
01.051.03.07,Senada,01.051.11.09,Bni Hadifa,17.17
01.051.03.07,Senada,01.051.11.21,Rouadi,28.41
01.051.07.03,Bni Ahmed Imoukzan,01.051.07.07,Bni Bchir,10.86
01.051.07.03,Bni Ahmed Imoukzan,01.051.07.11,Bni Bounsar,12.44
01.051.07.03,Bni Ahmed Imoukzan,01.051.09.09,Bni Bouchibet,12.14
01.051.07.03,Bni Ahmed Imoukzan,01.051.09.23,Taghzout,8.82
01.051.07.03,Bni Ahmed Imoukzan,03.531.07.11,Fennassa Bab El Hit,6.47
01.051.07.05,Bni Ammart,01.051.07.07,Bni Bchir,6.48
01.051.07.05,Bni Ammart,01.051.07.19,Sidi Boutmim,10.8
01.051.07.05,Bni Ammart,01.051.07.21,Sidi Bouzineb,18.39
01.051.07.05,Bni Ammart,01.051.11.25,Zaouiat Sidi Abdelkader,6.56
01.051.07.05,Bni Ammart,03.531.07.19,Tamedit,20.5
01.051.07.05,Bni Ammart,03.561.03.03,Bourd,3
01.051.07.07,Bni Bchir,01.051.07.11,Bni Bounsar,6.04
01.051.07.07,Bni Bchir,01.051.07.19,Sidi Boutmim,2.05
01.051.07.07,Bni Bchir,01.051.07.27,Zarkt,5.58
01.051.07.07,Bni Bchir,03.531.07.05,Bni Ounjel Tafraout,6
01.051.07.07,Bni Bchir,03.531.07.11,Fennassa Bab El Hit,1.18
01.051.07.07,Bni Bchir,03.531.07.19,Tamedit,15.74
01.051.07.11,Bni Bounsar,01.051.07.27,Zarkt,12.34
01.051.07.11,Bni Bounsar,01.051.09.01,Abdelghaya Souahel,3.61
01.051.07.11,Bni Bounsar,01.051.09.13,Issaguen,4.22
01.051.07.11,Bni Bounsar,01.051.09.17,Moulay Ahmed Cherif,18.99
01.051.07.11,Bni Bounsar,01.051.09.23,Taghzout,2.23
01.051.07.19,Sidi Boutmim,01.051.07.27,Zarkt,20.24
01.051.07.19,Sidi Boutmim,01.051.11.09,Bni Hadifa,14.34
01.051.07.19,Sidi Boutmim,01.051.11.25,Zaouiat Sidi Abdelkader,9.32
01.051.07.21,Sidi Bouzineb,01.051.11.25,Zaouiat Sidi Abdelkader,11.49
01.051.07.21,Sidi Bouzineb,01.051.13.11,Chakrane,5.86
01.051.07.21,Sidi Bouzineb,03.561.03.03,Bourd,12.97
01.051.07.27,Zarkt,01.051.09.17,Moulay Ahmed Cherif,4.72
01.051.09.01,Abdelghaya Souahel,01.051.09.13,Issaguen,8.94
01.051.09.01,Abdelghaya Souahel,01.051.09.15,Ketama,12.8
01.051.09.01,Abdelghaya Souahel,01.051.09.23,Taghzout,14.94
01.051.09.01,Abdelghaya Souahel,01.051.09.25,Tamsaout,18.36
01.051.09.01,Abdelghaya Souahel,03.531.03.07,Oudka,3.5
01.051.09.01,Abdelghaya Souahel,03.531.03.11,Ratba,3
01.051.09.01,Abdelghaya Souahel,03.531.03.15,Sidi Mokhfi,2.78
01.051.09.01,Abdelghaya Souahel,03.531.03.23,Timezgana,9.36
01.051.09.01,Abdelghaya Souahel,03.531.07.13,Khlalfa,5.67
01.051.09.09,Bni Bouchibet,01.051.09.23,Taghzout,11.73
01.051.09.09,Bni Bouchibet,03.531.07.09,Bouhouda,16.65
01.051.09.09,Bni Bouchibet,03.531.07.11,Fennassa Bab El Hit,9.51
01.051.09.09,Bni Bouchibet,03.531.07.13,Khlalfa,5.98
01.051.09.13,Issaguen,01.051.09.15,Ketama,12.32
01.051.09.13,Issaguen,01.051.09.17,Moulay Ahmed Cherif,17.72
01.051.09.13,Issaguen,01.151.09.19,Ouaouzgane,10.65
01.051.09.15,Ketama,01.051.09.25,Tamsaout,14.02
01.051.09.15,Ketama,01.151.03.23,Tamorot,15.37
01.051.09.17,Moulay Ahmed Cherif,01.151.09.19,Ouaouzgane,6.7
01.051.09.23,Taghzout,03.531.07.13,Khlalfa,2.81
01.051.09.25,Tamsaout,01.151.03.23,Tamorot,12.53
01.051.09.25,Tamsaout,03.531.03.11,Ratba,8.32
01.051.11.01,Ait Kamra,01.051.11.07,Bni Abdellah,11.33
01.051.11.01,Ait Kamra,01.051.11.15,Izemmouren,20.79
01.051.11.01,Ait Kamra,01.051.11.21,Rouadi,2.04
01.051.11.01,Ait Kamra,01.051.13.03,Ait Youssef Ou Ali,5.45
01.051.11.01,Ait Kamra,01.051.13.13,Imrabten,5.82
01.051.11.01,Ait Kamra,01.051.13.17,Louta,0.88
01.051.11.07,Bni Abdellah,01.051.11.09,Bni Hadifa,9.33
01.051.11.07,Bni Abdellah,01.051.11.21,Rouadi,3.85
01.051.11.07,Bni Abdellah,01.051.11.25,Zaouiat Sidi Abdelkader,5.38
01.051.11.07,Bni Abdellah,01.051.13.11,Chakrane,5.7
01.051.11.07,Bni Abdellah,01.051.13.13,Imrabten,15.24
01.051.11.09,Bni Hadifa,01.051.11.25,Zaouiat Sidi Abdelkader,7.75
01.051.11.15,Izemmouren,01.051.11.21,Rouadi,13.51
01.051.11.25,Zaouiat Sidi Abdelkader,01.051.13.11,Chakrane,15.18
01.051.13.03,Ait Youssef Ou Ali,01.051.13.17,Louta,7.64
01.051.13.03,Ait Youssef Ou Ali,02.167.11.27,Trougout,5.59
01.051.13.05,Arbaa Taourirt,01.051.13.11,Chakrane,30.63
01.051.13.05,Arbaa Taourirt,01.051.13.19,Nekkour,12.39
01.051.13.05,Arbaa Taourirt,01.051.13.23,Tifarouine,3.05
01.051.13.05,Arbaa Taourirt,02.167.13.29,Tsaft,10.44
01.051.13.05,Arbaa Taourirt,03.561.03.01,Ajdir,7.85
01.051.13.05,Arbaa Taourirt,03.561.03.09,Sidi Ali Bourakba,2.81
01.051.13.05,Arbaa Taourirt,03.561.03.11,Tizi Ouasli,9.88
01.051.13.11,Chakrane,01.051.13.13,Imrabten,12.61
01.051.13.11,Chakrane,01.051.13.23,Tifarouine,3.98
01.051.13.11,Chakrane,03.561.03.01,Ajdir,0.93
01.051.13.11,Chakrane,03.561.03.03,Bourd,3.72
01.051.13.13,Imrabten,01.051.13.17,Louta,7.18
01.051.13.13,Imrabten,01.051.13.23,Tifarouine,14.18
01.051.13.17,Louta,01.051.13.23,Tifarouine,5.3
01.051.13.19,Nekkour,01.051.13.23,Tifarouine,21.59
01.051.13.19,Nekkour,02.167.11.11,Ijermaouas,4.69
01.051.13.19,Nekkour,02.167.13.29,Tsaft,8.98
01.151.01.01,Chefchaouen,01.151.05.01,Bab Taza,16.46
01.151.01.01,Chefchaouen,01.151.05.09,Derdara,1.22
01.151.03.03,Bab Berred,01.151.03.13,Iounane,17.89
01.151.03.03,Bab Berred,01.151.03.23,Tamorot,16.22
01.151.03.03,Bab Berred,01.151.05.03,Bni Darkoul,2.6
01.151.03.03,Bab Berred,01.151.05.07,Bni Salah,13.28
01.151.03.03,Bab Berred,01.151.06.21,Oued Malha,9.39
01.151.03.03,Bab Berred,01.151.11.03,Bni Mansour,2.77
01.151.03.03,Bab Berred,01.151.11.05,Bni Selmane,9.01
01.151.03.13,Iounane,01.151.03.23,Tamorot,8.53
01.151.03.13,Iounane,01.151.09.09,Bni Rzine,18.06
01.151.03.13,Iounane,01.151.09.11,Bni Smih,16.05
01.151.03.13,Iounane,01.151.11.03,Bni Mansour,5.99
01.151.03.23,Tamorot,01.151.06.15,Mansoura,13.07
01.151.03.23,Tamorot,01.151.06.21,Oued Malha,6.71
01.151.03.23,Tamorot,01.151.09.09,Bni Rzine,8.13
01.151.03.23,Tamorot,01.151.09.19,Ouaouzgane,1.39
01.151.03.23,Tamorot,03.531.03.11,Ratba,13.87
01.151.05.01,Bab Taza,01.151.05.03,Bni Darkoul,16.78
01.151.05.01,Bab Taza,01.151.05.05,Bni Faghloum,1.81
01.151.05.01,Bab Taza,01.151.05.07,Bni Salah,5.15
01.151.05.01,Bab Taza,01.151.05.09,Derdara,28.72
01.151.05.01,Bab Taza,01.151.05.11,Fifi,15.58
01.151.05.01,Bab Taza,01.151.05.13,Laghdir,2.26
01.151.05.01,Bab Taza,01.151.07.09,Talambote,23.33
01.151.05.01,Bab Taza,01.571.05.05,Al Oued,9.36
01.151.05.03,Bni Darkoul,01.151.05.07,Bni Salah,15.12
01.151.05.03,Bni Darkoul,01.151.07.09,Talambote,6.96
01.151.05.03,Bni Darkoul,01.151.11.05,Bni Selmane,6.56
01.151.05.05,Bni Faghloum,01.151.05.07,Bni Salah,10.74
01.151.05.05,Bni Faghloum,01.151.05.11,Fifi,11.85
01.151.05.05,Bni Faghloum,01.151.06.05,Bni Ahmed Cherqia,4.2
01.151.05.05,Bni Faghloum,01.151.06.07,Bni Ahmed Gharbia,7.63
01.151.05.05,Bni Faghloum,01.151.06.21,Oued Malha,9.09
01.151.05.05,Bni Faghloum,01.405.09.09,Moqrissat,8.34
01.151.05.05,Bni Faghloum,01.405.11.07,Kalaat Bouqorra,0.87
01.151.05.07,Bni Salah,01.151.06.21,Oued Malha,9.65
01.151.05.09,Derdara,01.151.05.13,Laghdir,14.94
01.151.05.09,Derdara,01.151.05.15,Tanaqoub,20.71
01.151.05.09,Derdara,01.571.05.05,Al Oued,8.65
01.151.05.11,Fifi,01.151.05.13,Laghdir,4.94
01.151.05.11,Fifi,01.405.09.09,Moqrissat,19.94
01.151.05.13,Laghdir,01.151.05.15,Tanaqoub,13.15
01.151.05.13,Laghdir,01.331.07.11,Souk L'qolla,3.89
01.151.05.13,Laghdir,01.405.09.01,Ain Beida,13.21
01.151.05.13,Laghdir,01.405.09.09,Moqrissat,9.03
01.151.05.15,Tanaqoub,01.331.07.11,Souk L'qolla,25.99
01.151.05.15,Tanaqoub,01.331.09.13,Tazroute,6.73
01.151.05.15,Tanaqoub,01.571.05.05,Al Oued,4.4
01.151.05.15,Tanaqoub,01.571.05.13,Bni Leit,6.06
01.151.06.05,Bni Ahmed Cherqia,01.151.06.07,Bni Ahmed Gharbia,14.23
01.151.06.05,Bni Ahmed Cherqia,01.151.06.15,Mansoura,11.9
01.151.06.05,Bni Ahmed Cherqia,01.151.06.21,Oued Malha,8.87
01.151.06.05,Bni Ahmed Cherqia,03.531.03.19,Tabouda,8.91
01.151.06.07,Bni Ahmed Gharbia,01.405.11.07,Kalaat Bouqorra,14.44
01.151.06.07,Bni Ahmed Gharbia,03.531.03.19,Tabouda,6.85
01.151.06.15,Mansoura,01.151.06.21,Oued Malha,15.14
01.151.06.15,Mansoura,03.531.03.11,Ratba,6.49
01.151.06.15,Mansoura,03.531.03.13,Sidi Haj M'hamed,8.68
01.151.06.15,Mansoura,03.531.03.19,Tabouda,0.26
01.151.07.01,Bni Bouzra,01.151.07.07,Steha,9.78
01.151.07.01,Bni Bouzra,01.151.09.01,Amtar,9.94
01.151.07.01,Bni Bouzra,01.151.11.03,Bni Mansour,16.84
01.151.07.01,Bni Bouzra,01.151.11.05,Bni Selmane,5.05
01.151.07.07,Steha,01.151.07.11,Tassift,10.46
01.151.07.07,Steha,01.151.07.13,Tizgane,15
01.151.07.07,Steha,01.151.11.05,Bni Selmane,6.46
01.151.07.09,Talambote,01.151.07.11,Tassift,19.13
01.151.07.09,Talambote,01.151.11.05,Bni Selmane,21.85
01.151.07.09,Talambote,01.571.05.05,Al Oued,8.1
01.151.07.11,Tassift,01.151.07.13,Tizgane,13.41
01.151.07.11,Tassift,01.151.11.05,Bni Selmane,5.94
01.151.07.11,Tassift,01.571.05.05,Al Oued,7.23
01.151.07.11,Tassift,01.571.05.15,Bni Said,12.08
01.151.07.11,Tassift,01.571.05.19,Oulad Ali Mansour,9.26
01.151.07.13,Tizgane,01.571.01.07,Oued Laou,6.24
01.151.09.01,Amtar,01.151.09.11,Bni Smih,20.25
01.151.09.01,Amtar,01.151.11.03,Bni Mansour,10.2
01.151.09.09,Bni Rzine,01.151.09.11,Bni Smih,11.43
01.151.09.09,Bni Rzine,01.151.09.17,M'tioua,5.86
01.151.09.09,Bni Rzine,01.151.09.19,Ouaouzgane,17.99
01.151.09.11,Bni Smih,01.151.09.17,M'tioua,10.2
01.151.09.11,Bni Smih,01.151.11.03,Bni Mansour,7.36
01.151.09.17,M'tioua,01.151.09.19,Ouaouzgane,18.97
01.151.11.03,Bni Mansour,01.151.11.05,Bni Selmane,22.89
01.227.03.05,Anjra,01.227.03.11,Jouamaa,6.94
01.227.03.05,Anjra,01.227.03.13,Ksar El Majaz,5.04
01.227.03.05,Anjra,01.227.03.21,Taghramt,8.62
01.227.03.05,Anjra,01.227.05.05,Ksar Sghir,2.31
01.227.03.05,Anjra,01.227.05.09,Malloussa,12.68
01.227.03.05,Anjra,01.571.03.17,Saddina,11.53
01.227.03.05,Anjra,01.571.03.19,Souk Kdim,8.9
01.227.03.11,Jouamaa,01.227.05.01,Al Bahraoyine,1.61
01.227.03.11,Jouamaa,01.227.05.09,Malloussa,12.46
01.227.03.11,Jouamaa,01.511.05.05,Sebt Azzinate,9.6
01.227.03.11,Jouamaa,01.511.05.17,Laaouama,2.54
01.227.03.11,Jouamaa,01.571.03.01,Ain Lahsan,9.74
01.227.03.11,Jouamaa,01.571.03.07,Bni Harchen,4.5
01.227.03.11,Jouamaa,01.571.03.19,Souk Kdim,3.57
01.227.03.13,Ksar El Majaz,01.227.03.21,Taghramt,31.63
01.227.03.13,Ksar El Majaz,01.227.05.05,Ksar Sghir,13.75
01.227.03.21,Taghramt,01.571.03.17,Saddina,0.24
01.227.03.21,Taghramt,01.573.01.01,Fnideq,7.24
01.227.03.21,Taghramt,01.573.01.07,Allyene,17.05
01.227.03.21,Taghramt,01.573.01.09,Belyounech,17.48
01.227.05.01,Al Bahraoyine,01.227.05.05,Ksar Sghir,8.03
01.227.05.01,Al Bahraoyine,01.227.05.09,Malloussa,11.92
01.227.05.01,Al Bahraoyine,01.511.01.0,Tanger,22.02
01.227.05.01,Al Bahraoyine,01.511.05.17,Laaouama,5.18
01.227.05.05,Ksar Sghir,01.227.05.09,Malloussa,15.61
01.227.05.05,Ksar Sghir,01.511.01.0,Tanger,1.63
01.331.01.01,Ksar El Kebir,01.331.07.03,Ksar Bjir,14.03
01.331.01.01,Ksar El Kebir,01.331.07.17,Zouada,2.48
01.331.01.01,Ksar El Kebir,01.331.11.03,Oulad Ouchih,5.26
01.331.01.01,Ksar El Kebir,01.331.11.13,Souk Tolba,5.46
01.331.01.03,Larache,01.331.07.05,Laouamra,18.65
01.331.01.03,Larache,01.331.11.11,Sahel,15.69
01.331.07.01,Boujedyane,01.331.07.03,Ksar Bjir,0.93
01.331.07.01,Boujedyane,01.331.07.11,Souk L'qolla,15.92
01.331.07.01,Boujedyane,01.331.07.15,Tatoft,20.85
01.331.07.01,Boujedyane,01.331.09.05,Bni Garfett,10.59
01.331.07.01,Boujedyane,01.331.09.15,Zaaroura,9.45
01.331.07.01,Boujedyane,01.331.11.13,Souk Tolba,13.59
01.331.07.03,Ksar Bjir,01.331.07.15,Tatoft,13.46
01.331.07.03,Ksar Bjir,01.331.07.17,Zouada,4.67
01.331.07.03,Ksar Bjir,01.331.11.13,Souk Tolba,8.37
01.331.07.03,Ksar Bjir,04.281.07.01,Arbaoua,17.19
01.331.07.03,Ksar Bjir,04.281.07.07,Oued El Makhazine,3.77
01.331.07.05,Laouamra,01.331.07.17,Zouada,16.21
01.331.07.05,Laouamra,01.331.11.09,Rissana Janoubia,4.88
01.331.07.05,Laouamra,01.331.11.11,Sahel,2.02
01.331.07.05,Laouamra,04.281.11.03,Chouafaa,17.42
01.331.07.11,Souk L'qolla,01.331.07.15,Tatoft,2.49
01.331.07.11,Souk L'qolla,01.331.09.03,Bni Arouss,2.76
01.331.07.11,Souk L'qolla,01.331.09.13,Tazroute,5.78
01.331.07.11,Souk L'qolla,01.331.09.15,Zaaroura,17.6
01.331.07.11,Souk L'qolla,01.405.09.01,Ain Beida,7.36
01.331.07.11,Souk L'qolla,01.405.09.05,Brikcha,18.42
01.331.07.15,Tatoft,01.405.07.07,Mzefroune,0.02
01.331.07.15,Tatoft,01.405.09.03,Asjen,7.05
01.331.07.15,Tatoft,01.405.09.05,Brikcha,14.54
01.331.07.15,Tatoft,04.281.07.07,Oued El Makhazine,11.21
01.331.07.17,Zouada,01.331.11.03,Oulad Ouchih,26.13
01.331.07.17,Zouada,01.331.11.09,Rissana Janoubia,2.12
01.331.07.17,Zouada,04.281.07.01,Arbaoua,9.49
01.331.07.17,Zouada,04.281.11.03,Chouafaa,7.85
01.331.07.17,Zouada,04.281.11.11,Sidi Boubker El Haj,6.25
01.331.09.01,Ayacha,01.331.09.03,Bni Arouss,10.91
01.331.09.01,Ayacha,01.331.09.05,Bni Garfett,15.05
01.331.09.01,Ayacha,01.331.09.15,Zaaroura,5.14
01.331.09.01,Ayacha,01.511.03.13,Sidi Lyamani,17.11
01.331.09.01,Ayacha,01.511.03.15,Had Al Gharbia,14.77
01.331.09.01,Ayacha,01.571.03.03,Al Kharroub,5.82
01.331.09.01,Ayacha,01.571.03.09,Jbel Lahbib,11.73
01.331.09.03,Bni Arouss,01.331.09.13,Tazroute,24.3
01.331.09.03,Bni Arouss,01.331.09.15,Zaaroura,15.86
01.331.09.03,Bni Arouss,01.571.03.03,Al Kharroub,16.61
01.331.09.03,Bni Arouss,01.571.03.11,Bni Idder,1.07
01.331.09.05,Bni Garfett,01.331.09.15,Zaaroura,33.61
01.331.09.05,Bni Garfett,01.331.11.07,Rissana Chamalia,15.56
01.331.09.05,Bni Garfett,01.331.11.09,Rissana Janoubia,7.05
01.331.09.05,Bni Garfett,01.331.11.12,Souaken,4.75
01.331.09.05,Bni Garfett,01.331.11.13,Souk Tolba,5.18
01.331.09.05,Bni Garfett,01.511.03.13,Sidi Lyamani,3.03
01.331.09.13,Tazroute,01.571.03.11,Bni Idder,10.6
01.331.09.13,Tazroute,01.571.05.13,Bni Leit,17.94
01.331.09.13,Tazroute,01.571.05.27,Zinat,4.07
01.331.11.03,Oulad Ouchih,01.331.11.09,Rissana Janoubia,1.46
01.331.11.03,Oulad Ouchih,01.331.11.12,Souaken,14.36
01.331.11.03,Oulad Ouchih,01.331.11.13,Souk Tolba,4.86
01.331.11.07,Rissana Chamalia,01.331.11.09,Rissana Janoubia,12.52
01.331.11.07,Rissana Chamalia,01.331.11.11,Sahel,12.92
01.331.11.07,Rissana Chamalia,01.511.03.13,Sidi Lyamani,12.08
01.331.11.09,Rissana Janoubia,01.331.11.11,Sahel,16
01.331.11.09,Rissana Janoubia,01.331.11.12,Souaken,21
01.331.11.11,Sahel,01.511.03.11,Sahel Chamali,11.6
01.331.11.11,Sahel,01.511.03.13,Sidi Lyamani,0.63
01.331.11.12,Souaken,01.331.11.13,Souk Tolba,10.75
01.405.01.09,Ouezzane,01.405.07.01,Bni Quolla,14.49
01.405.01.09,Ouezzane,01.405.09.03,Asjen,5.87
01.405.07.01,Bni Quolla,01.405.07.05,Masmouda,9.52
01.405.07.01,Bni Quolla,01.405.07.15,Sidi Redouane,16.84
01.405.07.01,Bni Quolla,01.405.09.01,Ain Beida,4.64
01.405.07.01,Bni Quolla,01.405.09.03,Asjen,2.06
01.405.07.01,Bni Quolla,01.405.11.11,Zoumi,13.73
01.405.07.01,Bni Quolla,04.481.03.01,Ain Dfali,3.99
01.405.07.01,Bni Quolla,04.481.03.03,Bni Oual,13.68
01.405.07.05,Masmouda,01.405.07.07,Mzefroune,15.64
01.405.07.05,Masmouda,01.405.09.03,Asjen,10.62
01.405.07.05,Masmouda,04.481.03.03,Bni Oual,11.32
01.405.07.05,Masmouda,04.481.03.09,Moulay Abdelkader,6.93
01.405.07.05,Masmouda,04.481.03.13,Sidi Ahmed Benaissa,8.07
01.405.07.05,Masmouda,04.481.03.15,Sidi Ameur Al Hadi,2.74
01.405.07.07,Mzefroune,01.405.09.03,Asjen,15.97
01.405.07.07,Mzefroune,04.281.07.07,Oued El Makhazine,11
01.405.07.07,Mzefroune,04.481.03.15,Sidi Ameur Al Hadi,6.35
01.405.07.15,Sidi Redouane,01.405.11.11,Zoumi,9.76
01.405.07.15,Sidi Redouane,01.405.13.09,Ouannana,16.85
01.405.07.15,Sidi Redouane,04.481.03.01,Ain Dfali,17.69
01.405.09.01,Ain Beida,01.405.09.03,Asjen,3.07
01.405.09.01,Ain Beida,01.405.09.05,Brikcha,22.69
01.405.09.01,Ain Beida,01.405.09.09,Moqrissat,27.92
01.405.09.01,Ain Beida,01.405.11.11,Zoumi,10.95
01.405.09.03,Asjen,01.405.09.05,Brikcha,28.82
01.405.09.09,Moqrissat,01.405.11.07,Kalaat Bouqorra,4.01
01.405.09.09,Moqrissat,01.405.11.11,Zoumi,22.75
01.405.11.07,Kalaat Bouqorra,01.405.11.11,Zoumi,20.37
01.405.11.07,Kalaat Bouqorra,01.405.13.17,Teroual,8.34
01.405.11.07,Kalaat Bouqorra,03.531.03.19,Tabouda,8.73
01.405.11.11,Zoumi,01.405.13.09,Ouannana,8.41
01.405.11.11,Zoumi,01.405.13.17,Teroual,2.6
01.405.13.03,Lamjaara,01.405.13.09,Ouannana,15.88
01.405.13.03,Lamjaara,01.405.13.11,Sidi Ahmed Cherif,14.18
01.405.13.03,Lamjaara,01.405.13.13,Sidi Bousber,1.86
01.405.13.03,Lamjaara,01.405.13.17,Teroual,12.28
01.405.13.03,Lamjaara,01.405.13.19,Zghira,12.79
01.405.13.03,Lamjaara,03.531.05.13,Moulay Abdelkrim,6.44
01.405.13.03,Lamjaara,03.531.05.15,Moulay Bouchta,8.24
01.405.13.09,Ouannana,01.405.13.13,Sidi Bousber,8.51
01.405.13.09,Ouannana,01.405.13.17,Teroual,5.75
01.405.13.09,Ouannana,04.481.03.01,Ain Dfali,4.53
01.405.13.11,Sidi Ahmed Cherif,01.405.13.13,Sidi Bousber,10.07
01.405.13.11,Sidi Ahmed Cherif,03.531.05.05,Rhouazi,7.03
01.405.13.11,Sidi Ahmed Cherif,03.531.05.13,Moulay Abdelkrim,3.1
01.405.13.11,Sidi Ahmed Cherif,04.481.07.07,Lamrabih,3.46
01.405.13.13,Sidi Bousber,04.481.03.01,Ain Dfali,9.22
01.405.13.13,Sidi Bousber,04.481.07.07,Lamrabih,8.7
01.405.13.17,Teroual,01.405.13.19,Zghira,11.67
01.405.13.17,Teroual,03.531.03.19,Tabouda,2.87
01.405.13.19,Zghira,03.531.03.19,Tabouda,2.26
01.405.13.19,Zghira,03.531.03.21,Tafrant,11.11
01.511.01.0,Tanger,01.511.01.09,Gueznaia,13.85
01.511.01.0,Tanger,01.511.05.17,Laaouama,10.23
01.511.01.01,Assilah,01.511.03.03,Aquouass Briech,9
01.511.01.01,Assilah,01.511.03.11,Sahel Chamali,8.9
01.511.01.01,Assilah,01.511.03.15,Had Al Gharbia,9.38
01.511.01.09,Gueznaia,01.511.03.03,Aquouass Briech,4.85
01.511.01.09,Gueznaia,01.511.05.17,Laaouama,3.74
01.511.01.09,Gueznaia,01.511.05.19,Hjar Ennhal,21.24
01.511.03.03,Aquouass Briech,01.511.03.15,Had Al Gharbia,10.27
01.511.03.03,Aquouass Briech,01.511.05.01,Al Manzla,4.25
01.511.03.03,Aquouass Briech,01.511.05.19,Hjar Ennhal,8.07
01.511.03.11,Sahel Chamali,01.511.03.13,Sidi Lyamani,16.32
01.511.03.11,Sahel Chamali,01.511.03.15,Had Al Gharbia,1.96
01.511.03.13,Sidi Lyamani,01.511.03.15,Had Al Gharbia,4.13
01.511.03.15,Had Al Gharbia,01.511.05.01,Al Manzla,15.27
01.511.03.15,Had Al Gharbia,01.571.03.09,Jbel Lahbib,2.29
01.511.05.01,Al Manzla,01.511.05.05,Sebt Azzinate,10.12
01.511.05.01,Al Manzla,01.511.05.07,Dar Chaoui,13.1
01.511.05.01,Al Manzla,01.511.05.19,Hjar Ennhal,13.73
01.511.05.01,Al Manzla,01.571.03.09,Jbel Lahbib,8.86
01.511.05.05,Sebt Azzinate,01.511.05.07,Dar Chaoui,12.34
01.511.05.05,Sebt Azzinate,01.511.05.17,Laaouama,11.99
01.511.05.05,Sebt Azzinate,01.511.05.19,Hjar Ennhal,6
01.511.05.07,Dar Chaoui,01.571.03.07,Bni Harchen,15.97
01.511.05.07,Dar Chaoui,01.571.03.09,Jbel Lahbib,1.18
01.511.05.17,Laaouama,01.511.05.19,Hjar Ennhal,5.02
01.571.01.07,Oued Laou,01.571.05.15,Bni Said,7.16
01.571.01.07,Oued Laou,01.571.05.25,Zaouiat Sidi Kacem,3.64
01.571.01.11,Tétouan,01.571.03.15,Mallalienne,6.42
01.571.01.11,Tétouan,01.571.03.17,Saddina,7.55
01.571.01.11,Tétouan,01.571.03.21,Sahtryine,1.78
01.571.01.11,Tétouan,01.571.05.07,Azla,9.5
01.571.01.11,Tétouan,01.571.05.17,Dar Bni Karrich,5.99
01.571.01.11,Tétouan,01.571.05.23,Zaitoune,7.16
01.571.01.11,Tétouan,01.573.01.03,Martil,6.79
01.571.03.01,Ain Lahsan,01.571.03.05,Bghaghza,1.78
01.571.03.01,Ain Lahsan,01.571.03.07,Bni Harchen,20.03
01.571.03.01,Ain Lahsan,01.571.03.19,Souk Kdim,15.67
01.571.03.01,Ain Lahsan,01.571.03.21,Sahtryine,9.85
01.571.03.03,Al Kharroub,01.571.03.05,Bghaghza,9.66
01.571.03.03,Al Kharroub,01.571.03.07,Bni Harchen,2.95
01.571.03.03,Al Kharroub,01.571.03.09,Jbel Lahbib,8.55
01.571.03.03,Al Kharroub,01.571.03.11,Bni Idder,0.69
01.571.03.05,Bghaghza,01.571.03.07,Bni Harchen,28.07
01.571.03.05,Bghaghza,01.571.03.11,Bni Idder,17.88
01.571.03.05,Bghaghza,01.571.03.21,Sahtryine,1.75
01.571.03.07,Bni Harchen,01.571.03.09,Jbel Lahbib,10.52
