code_2024,code_2014,name_2024,name_2014,name_ar_2024,name_ar_2014,method,normalised_name_match,candidates_in_province,population_2024,population_2014,population_ratio
09.541.11.01,09.541.09.01,Ahmar Laglalcha,Ahmar Laglalcha,احمر لكلالشة,احمر  لكلالشة,exact_name_in_province,true,4,21659,17950,1.2066
09.541.11.03,09.541.05.03,Argana,Argana,أركانة,اركانة,exact_name_in_province,true,11,4123,4804,0.8582
09.541.11.07,09.541.05.07,Bigoudine,Bigoudine,بيكودين,بيكودين,exact_name_in_province,true,10,4174,5131,0.8135
09.541.11.09,09.541.05.09,Eddir,Eddir,الدير,الدير,exact_name_in_province,true,6,7781,7565,1.0286
09.541.11.13,09.541.05.13,Imilmaiss,Imilmaiss,إميلمايس,اميلمايس,exact_name_in_province,true,8,4967,6584,0.7544
09.541.11.15,09.541.05.15,Issen,Issen,إسن,اسن,exact_name_in_province,true,5,13254,12119,1.0937
09.541.11.19,09.541.09.19,Ida Ou Moumen,Ida Ou Moumen,إدا ومومن,إد او مومن,exact_name_in_province,true,1,5833,6105,0.9554
09.541.11.29,09.541.05.29,Sidi Moussa Lhamri,Sidi Moussa Lhamri,سيدي موسى الحمري,سيدي موسى الحمري,exact_name_in_province,true,7,17673,14976,1.1801
09.541.11.31,09.541.09.31,Lamnizla,Lamnizla,لمنيزلة,لمنيزلة,exact_name_in_province,true,3,3427,4224,0.8113
09.541.11.33,09.541.05.31,Talmakante,Talmakante,تالماكانت,تالمكانت,exact_name_in_province,true,9,3336,4004,0.8332
09.541.11.71,09.541.09.71,Zaouia Sidi Tahar,Zaouia Sidi Tahar,زاوية سيدي الطاهر,زاوية سيدي الطاهر,exact_name_in_province,true,2,13479,11677,1.1543
10.473.01.07,10.473.05.07,Mirleft,Mirleft,مير اللفت,مير لفت,exact_name_in_province,true,1,9828,8162,1.2041
